"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Austin Peay",65.0199,341,64.1966,338,109.588,95,108.952,134,111.288,321,113.797,326,-4.84561,228
"2024","Ball St.",67.4976,248,67.0792,219,105.289,178,103.465,236,106.606,223,111.136,265,-7.67031,267
"2024","Baylor",66.8105,272,65.7063,289,119.223,7,124.544,5,104.177,157,101.306,75,23.2382,13
"2024","Bellarmine",66.4824,283,65.0865,316,100.636,273,100.976,280,114.394,351,113.774,324,-12.7982,313
"2024","Belmont",71.9026,36,71.4211,28,107.452,135,109.952,113,105.414,195,104.539,133,5.41217,113
"2024","Bethune Cookman",71.1046,53,69.9421,63,98.6408,301,98.7008,309,103.683,145,111.167,267,-12.4665,310
"2024","Binghamton",68.1603,203,66.5808,251,101.721,253,103.075,245,107.03,235,111.566,277,-8.49124,276
"2024","Boise St.",66.3878,290,66.9814,228,111.788,52,115.206,46,100.703,74,98.3201,33,16.8861,38
"2024","Boston College",68.6266,170,67.7298,176,108.815,111,113.886,64,106.674,225,105.449,148,8.43672,95
"2024","Boston University",65.6034,322,65.9843,274,98.9794,295,98.7458,308,100.663,73,108.842,218,-10.0964,293
"2024","Bowling Green",68.914,156,68.15,148,104.331,199,102.721,248,103.327,134,107.972,202,-5.2507,238
"2024","Bradley",67.0272,268,66.5346,256,110.672,73,113.104,74,99.5834,50,100.514,58,12.5905,61
"2024","Brown",67.6278,235,67,226,101.883,250,103.366,238,105.704,205,108.24,204,-4.87402,229
"2024","Bryant",75.632,1,74.5558,3,98.8201,300,100.836,283,99.0985,43,102.664,101,-1.82715,179
"2024","Bucknell",64.1014,352,64.9024,323,100.859,269,100.717,288,103.743,148,109.359,233,-8.64262,279
"2024","Buffalo",70.1324,87,69.306,85,95.6487,333,95.69,341,113.129,340,115.173,343,-19.4832,347
"2024","Butler",69.0833,141,68.459,133,108.336,117,114.075,58,104.518,172,101.71,82,12.3653,62
"2024","BYU",69.9842,97,69.1934,91,117.286,16,120.958,13,99.3004,45,99.5738,45,21.384,16
"2024","Cal Baptist",65.7901,316,64.1149,340,102.972,234,104.005,229,101.072,82,105.897,155,-1.89182,181
"2024","Cal Poly",66.4064,289,65.7975,283,92.6627,353,93.9646,347,109.922,294,112.267,295,-18.3028,341
"2024","Cal St. Bakersfield",65.7112,319,64.774,328,100.77,271,101.863,265,104.886,181,107.03,175,-5.1662,234
"2024","Cal St. Fullerton",67.2878,258,66.637,248,98.3386,304,100.535,290,103.399,137,105.649,152,-5.11333,233
"2024","Cal St. Northridge",73.1992,14,72.9568,9,100.627,274,100.837,282,101.375,88,106.153,161,-5.31512,240
"2024","California",69.8197,104,68.6961,120,104.183,204,109.527,123,107.61,251,104.582,135,4.94549,119
"2024","Campbell",66.5794,279,66.8709,238,101.961,248,101.124,278,108.487,266,112.383,298,-11.2591,304
"2024","Canisius",68.1928,200,67.1733,217,101.155,265,101.437,272,106.069,213,109.738,242,-8.3016,275
"2024","Central Arkansas",70.0705,91,69.4578,81,99.7642,285,97.8475,321,114.105,348,115.547,346,-17.6994,339
"2024","Central Connecticut",67.6534,231,66.9868,227,104.261,201,101.806,267,100.463,67,108.397,208,-6.59133,257
"2024","Central Michigan",66.3207,294,65.4215,305,97.1789,319,97.3551,325,103.291,131,105.153,144,-7.7976,268
"2024","Charleston",70.2792,81,70.502,48,114.586,26,114.185,57,105.001,186,107.565,190,6.61991,103
"2024","Charleston Southern",67.5481,243,67.05,220,94.942,340,95.9807,337,110.13,297,108.882,220,-12.9013,314
"2024","Charlotte",63.1852,356,62.4783,356,106.625,148,109.593,122,104.265,162,104.616,136,4.97658,118
"2024","Chattanooga",68.164,202,66.8897,236,111.579,54,111.058,96,106.651,224,109.195,226,1.86341,147
"2024","Chicago St.",66.492,282,64.6312,332,96.4397,325,99.1268,304,106.834,228,110.294,246,-11.1675,303
"2024","Cincinnati",68.5079,185,67.5683,190,107.048,140,112.259,84,98.7847,39,96.7934,21,15.4651,45
"2024","Clemson",67.7732,228,66.5469,253,114.498,28,119.055,19,103.675,144,100.259,54,18.796,23
"2024","Cleveland St.",68.2701,197,67.31,205,109.85,91,108.415,147,107.362,243,111.049,262,-2.63481,195
"2024","Coastal Carolina",71.0887,54,69.6253,76,100.1,281,100.125,297,110.853,314,112.634,308,-12.5092,311
"2024","Colgate",66.1839,302,66.5638,252,106.186,157,105.133,209,97.156,24,103.087,108,2.0456,144
"2024","Colorado",69.9537,99,68.3906,141,114.201,31,118.563,23,102.637,114,100.779,64,17.7834,32
"2024","Colorado St.",66.7503,275,66.0776,272,111.505,57,115.242,45,102.033,102,98.1434,31,17.0988,36
"2024","Columbia",69.2125,133,68.7757,114,106.723,144,107.347,167,107.536,248,111.986,287,-4.63916,225
"2024","Connecticut",66.0729,306,64.521,334,122.822,1,126.394,3,97.4774,27,95.4874,14,30.907,2
"2024","Coppin St.",67.3613,256,66.309,263,85.5437,361,86.4009,361,107.06,237,111.862,285,-25.4606,360
"2024","Cornell",71.5405,42,71.6498,25,112.452,46,113.975,61,104.691,176,107.234,181,6.74066,102
"2024","Creighton",67.8684,223,66.9334,230,117.31,15,121.21,10,100.386,62,97.1912,24,24.0189,10
"2024","Dartmouth",65.8875,311,65.3938,307,91.9971,354,93.7602,350,111.351,323,110.858,259,-17.0982,334
"2024","Davidson",65.5816,323,65.5795,295,103.431,220,106.625,177,101.444,91,100.92,66,5.70498,111
"2024","Dayton",64.6438,346,64.3854,335,115.862,19,119.521,17,102.131,103,101.592,78,17.9294,30
"2024","Delaware",67.3982,255,67.6283,185,107.269,138,105.68,194,103.734,147,106.616,172,-0.935951,169
"2024","Delaware St.",69.7193,107,68.949,100,96.0928,331,96.0209,336,101.327,86,107.715,194,-11.6941,306
"2024","Denver",70.6901,65,70.6954,44,112.012,49,110.307,106,116.116,357,118.44,358,-8.13291,273
"2024","DePaul",68.6562,168,67.9065,169,94.9868,337,101.658,270,119.938,362,114.581,336,-12.9231,315
"2024","Detroit Mercy",68.0245,209,67.049,221,96.4591,324,97.1791,329,117.114,358,117.887,356,-20.7082,351
"2024","Drake",68.6954,166,68.192,145,114.251,30,115.92,35,99.8478,55,101.721,83,14.1992,50
"2024","Drexel",65.4722,329,64.8262,326,108.67,113,108.402,148,100.797,78,103.896,122,4.50598,124
"2024","Duke",67.5612,242,66.7976,242,119.094,8,123.254,7,98.6284,35,96.9093,22,26.3443,7
"2024","Duquesne",67.3461,257,66.8997,234,104.477,198,107.373,166,100.539,70,99.4809,43,7.89232,98
"2024","East Carolina",65.477,328,64.9617,321,103.525,217,104.744,216,105.507,199,106.204,163,-1.45989,173
"2024","East Tennessee St.",67.9067,221,66.8123,240,103.009,231,104.113,227,103.93,150,105.938,156,-1.825,178
"2024","Eastern Illinois",67.4741,251,66.8795,237,96.5098,323,96.6388,332,104.411,169,110.216,244,-13.5769,320
"2024","Eastern Kentucky",70.1776,85,69.025,97,108.974,106,107.657,162,109.792,290,111.342,271,-3.68449,208
"2024","Eastern Michigan",66.2534,299,65.5279,299,98.3101,305,97.3155,327,109.619,286,112.172,291,-14.8569,325
"2024","Eastern Washington",70.7348,62,70.7417,42,112.79,38,113.265,72,109.196,276,110.836,257,2.42964,141
"2024","Elon",67.5175,246,67.6476,182,104.212,202,102.354,254,113.003,337,115.509,345,-13.1556,316
"2024","Evansville",69.31,128,68.7578,115,100.332,279,103.577,235,106.475,222,107.241,182,-3.66466,206
"2024","Fairfield",69.3289,127,68.4829,130,109.01,104,108.577,143,102.893,121,109.097,224,-0.520187,165
"2024","Fairleigh Dickinson",72.8658,18,72.3376,16,99.8865,283,98.4405,315,106.746,226,113.786,325,-15.3456,326
"2024","FIU",71.7791,38,70.686,45,99.3241,292,102.157,258,107.556,249,111.029,261,-8.87234,282
"2024","Florida",72.3063,25,71.1083,33,115.242,20,120.252,15,104.875,180,101.679,80,18.5731,24
"2024","Florida A&M",69.7015,108,68.685,121,92.6834,352,94.3512,345,109.994,295,112.556,307,-18.2047,340
"2024","Florida Atlantic",69.0059,147,68.0379,156,117.481,11,119.418,18,103.43,138,102.537,96,16.8813,39
"2024","Florida Gulf Coast",65.5319,325,64.0521,342,105.608,168,103.977,230,109.195,275,109.295,231,-5.31788,241
"2024","Florida St.",72.1603,30,71.2807,29,105.389,174,110.636,102,104.96,184,101.264,72,9.37193,85
"2024","Fordham",69.7216,106,69.0058,99,100.489,277,102.789,247,103.696,146,105.39,147,-2.60177,194
"2024","Fresno St.",65.861,312,65.6643,292,101.44,257,105.297,204,110.241,300,108.742,217,-3.44508,204
"2024","Furman",70.4984,72,69.2095,89,110.432,78,110.343,104,107.043,236,108.202,203,2.14126,142
"2024","Gardner Webb",69.8452,102,69.6093,78,102.161,247,103.326,240,105.693,204,106.191,162,-2.86523,197
"2024","George Mason",65.1978,336,64.1226,339,109.19,101,110.039,111,102.3,110,102.458,93,7.58082,100
"2024","George Washington",70.632,66,70.2634,54,106.271,154,108.087,154,108.187,261,112.001,289,-3.91396,212
"2024","Georgetown",67.5747,241,67.0055,225,104.202,203,110.702,101,114.523,352,113.724,322,-3.02202,198
"2024","Georgia",70.1268,88,68.4251,136,106.243,156,110.304,107,105.08,189,101.467,77,8.83726,93
"2024","Georgia Southern",70.2336,83,69.1099,94,103.328,223,105.281,205,111.968,328,113.993,329,-8.71135,280
"2024","Georgia St.",70.0835,89,68.1255,151,105.185,180,106.376,184,108.142,260,110.296,247,-3.92004,213
"2024","Georgia Tech",68.564,180,67.5987,187,102.232,246,108.789,141,107.978,256,104.401,131,4.3875,126
"2024","Gonzaga",70.2073,84,69.5776,79,119.997,4,121.175,11,98.6158,34,99.2122,41,21.9626,15
"2024","Grambling St.",66.5949,278,65.2239,310,96.8386,322,99.1194,305,104.389,167,108.322,205,-9.20216,285
"2024","Grand Canyon",69.2947,129,68.0237,158,112.67,40,113.949,63,96.1427,11,101.28,74,12.6688,60
"2024","Green Bay",64.9162,342,63.8923,344,104.825,188,104.346,221,107.027,234,109.607,238,-5.26107,239
"2024","Hampton",70.0056,95,69.8009,68,97.9519,310,95.7008,340,112.014,330,113.072,317,-17.3711,337
"2024","Harvard",67.7425,229,67.6786,180,102.666,238,102.593,249,106.206,217,107.495,189,-4.90163,230
"2024","Hawaii",67.6428,232,66.4349,259,104.91,186,105.354,201,102.348,111,106.209,164,-0.854678,168
"2024","High Point",68.9319,154,68.925,103,118.169,10,116.673,29,106.919,231,110.693,254,5.97985,109
"2024","Hofstra",66.4494,286,65.8233,282,110.66,74,109.764,118,104.251,161,104.65,137,5.11359,116
"2024","Holy Cross",65.3884,332,65.9603,276,100.562,276,101.262,275,114.21,349,120.976,362,-19.7136,348
"2024","Houston",64.1808,351,63.6288,349,114.721,23,121.004,12,88.5947,1,89.1708,1,31.8327,1
"2024","Houston Christian",72.6775,20,71.5374,26,95.0097,336,97.3785,324,116.091,356,119.177,360,-21.7981,353
"2024","Howard",69.371,125,67.9937,161,105.653,167,105.608,195,107.727,254,114.688,339,-9.08012,283
"2024","Idaho",65.5761,324,65.0251,317,100.585,275,99.1293,303,110.568,306,112.467,302,-13.3378,317
"2024","Idaho St.",64.4519,349,64.1076,341,105.294,177,104.27,223,108.839,272,111.175,268,-6.90468,260
"2024","Illinois",70.3806,79,69.8742,66,118.858,9,126.153,4,103.538,140,102.731,103,23.4221,12
"2024","Illinois Chicago",68.5645,179,68.3922,140,98.9771,296,101.446,271,103.172,128,104.028,124,-2.58182,193
"2024","Illinois St.",65.1605,337,63.8819,346,101.772,252,103.209,244,104.67,175,105.008,143,-1.79904,177
"2024","Incarnate Word",71.3565,48,70.0926,60,98.4341,303,97.2423,328,110.235,299,115.765,348,-18.523,343
"2024","Indiana",69.3771,123,68.7088,119,105.478,172,111.286,94,107.523,247,102.264,91,9.02201,92
"2024","Indiana St.",71.4741,44,70.8296,36,117.32,14,118.01,27,100.458,66,102.271,92,15.7398,44
"2024","Iona",68.6329,169,67.6874,179,105.073,182,104.827,215,104.296,165,109.214,228,-4.3875,220
"2024","Iowa",72.3697,23,71.5037,27,115.24,21,121.348,9,109.145,274,106.294,168,15.0534,48
"2024","Iowa St.",68.5796,177,67.7853,175,110.87,67,113.428,69,90.4378,2,89.4389,2,23.9892,11
"2024","IUPUI",68.6599,167,67.6471,183,94.0042,346,92.587,353,118.33,361,118.301,357,-25.7135,361
"2024","Jackson St.",70.3958,76,68.9314,101,101.68,254,101.33,274,107.479,245,112.051,290,-10.721,301
"2024","Jacksonville",67.6103,237,65.7927,284,103.007,232,101.747,269,109.64,287,109.714,239,-7.96627,271
"2024","Jacksonville St.",66.2351,300,65.0121,318,100.881,268,102.27,255,100.447,65,104.254,128,-1.98334,184
"2024","James Madison",71.4636,45,70.0513,61,114.813,22,113.568,67,96.1684,12,101.229,71,12.3393,65
"2024","Kansas",69.6928,109,69.0793,96,109.758,93,115.784,38,98.5204,31,94.4034,10,21.3804,17
"2024","Kansas St.",68.3276,193,67.5089,194,102.962,235,108.526,146,100.38,61,97.1091,23,11.417,69
"2024","Kennesaw St.",74.859,3,74.294,4,108.219,119,105.976,189,111.043,317,113.136,318,-7.15982,263
"2024","Kent St.",67.95,218,67.1821,216,107.325,136,106.574,178,105.288,193,108.617,214,-2.04339,185
"2024","Kentucky",74.0121,7,72.8526,12,119.518,6,122.916,8,105.226,190,102.638,100,20.2779,18
"2024","La Salle",67.6563,230,67.3449,201,105.45,173,106.47,181,108.672,270,109.717,240,-3.24766,201
"2024","Lafayette",65.263,334,65.4341,303,94.677,344,94.1856,346,102.005,101,107.638,191,-13.4524,318
"2024","Lamar",70.5345,70,69.0219,98,107.561,131,105.027,211,103.141,127,108.636,215,-3.60952,205
"2024","Le Moyne",68.5809,176,67.7147,177,102.825,236,100.966,281,104.405,168,111.764,282,-10.7982,302
"2024","Lehigh",69.7726,105,70.3404,52,100.828,270,99.8861,299,101.163,84,107.2,179,-7.31343,264
"2024","Liberty",65.5083,326,64.8839,324,108.798,112,110.158,108,102.968,124,106.599,171,3.55883,131
"2024","Lindenwood",68.1848,201,67.3163,204,92.7112,350,92.2296,354,109.256,278,114.624,337,-22.3941,356
"2024","Lipscomb",70.4817,73,69.2613,86,114.255,29,112.601,80,109.816,291,112.759,312,-0.15756,163
"2024","Little Rock",70.0774,90,69.1068,95,110.69,72,108.018,156,101.89,99,109.728,241,-1.71047,176
"2024","LIU",71.2761,50,70.4887,49,92.791,349,93.7772,349,106.965,232,112.535,305,-18.7579,344
"2024","Long Beach St.",72.2067,28,71.7577,21,104.817,189,106.772,175,104.536,173,107.804,199,-1.03139,172
"2024","Longwood",68.0657,206,67.2138,213,106.496,151,105.359,200,101.545,94,106.104,160,-0.7457,167
"2024","Louisiana",70.3538,80,68.8218,108,107.218,139,107.492,165,102.676,115,104.571,134,2.92041,137
"2024","Louisiana Monroe",68.261,198,67.4108,198,97.9774,309,100.782,285,109.431,282,111.086,264,-10.3036,296
"2024","Louisiana Tech",66.7817,274,65.5872,294,106.808,142,109.198,130,96.7619,19,100.043,50,9.15537,90
"2024","Louisville",70.3839,78,69.9161,65,101.306,262,105.946,190,111.999,329,109.065,223,-3.11947,199
"2024","Loyola Chicago",69.6284,114,69.203,90,104.084,206,106.561,179,97.119,23,97.8577,27,8.70297,94
"2024","Loyola Marymount",65.8525,314,64.8233,327,107.968,122,108.939,135,109.267,279,111.35,272,-2.41137,191
"2024","Loyola MD",65.788,317,65.9519,277,94.7793,342,93.8086,348,108.521,268,114.137,332,-20.328,350
"2024","LSU",70.6918,64,69.6775,74,107.726,128,111.307,93,104.968,185,102.145,90,9.16128,89
"2024","Maine",67.5829,240,65.8489,280,97.6254,313,97.9258,319,98.6644,36,102.097,87,-4.17098,216
"2024","Manhattan",69.4365,121,68.5134,128,94.2578,345,96.1449,335,109.763,289,113.817,327,-17.6725,338
"2024","Marist",65.9089,309,65.2099,311,98.6306,302,97.5903,323,94.2248,4,101.432,76,-3.84131,211
"2024","Marquette",69.8317,103,69.7247,72,112.98,37,118.6,22,99.879,58,95.8705,16,22.7298,14
"2024","Marshall",72.3028,26,70.684,46,101.262,263,102.202,257,106.007,211,107.255,183,-5.05271,232
"2024","Maryland",66.0937,303,65.39,308,103.557,215,107.936,158,97.2248,25,93.8962,7,14.0397,53
"2024","Maryland Eastern Shore",67.4885,249,67.0313,222,89.516,359,89.286,360,106.197,215,109.493,235,-20.2073,349
"2024","Massachusetts",69.4867,120,68.4484,135,111.844,50,112.228,85,101.491,92,102.917,105,9.31016,86
"2024","McNeese St.",67.1884,261,66.1129,268,116.101,17,113.073,75,95.2163,7,100.72,62,12.353,63
"2024","Memphis",72.1787,29,71.9791,18,110.979,65,113.845,65,103.309,132,102.471,94,11.3736,71
"2024","Mercer",67.6224,236,66.6487,247,104.694,193,105.233,207,107.445,244,108.907,221,-3.67412,207
"2024","Merrimack",68.5987,174,67.9441,166,99.2863,294,98.3389,318,94.5902,5,101.686,81,-3.34712,203
"2024","Miami FL",69.9842,96,68.7457,116,107.764,127,111.804,89,104.547,174,103.405,112,8.39971,96
"2024","Miami OH",67.5413,245,67.2013,214,101.63,255,100.7,289,104.267,163,107.203,180,-6.50289,256
"2024","Michigan",68.9803,149,67.8639,170,105.092,181,111.843,88,113.719,347,107.271,185,4.5717,122
"2024","Michigan St.",66.5095,280,65.4935,301,110.106,83,114.651,50,99.1212,44,94.501,11,20.1498,19
"2024","Middle Tennessee",66.0727,307,65.1844,313,94.9565,339,98.4446,314,104.45,170,107.264,184,-8.81931,281
"2024","Milwaukee",70.4653,74,70.2158,55,109.799,92,108.032,155,110.724,311,113.199,319,-5.16709,235
"2024","Minnesota",68.0235,210,66.9163,231,111.124,64,114.013,60,104.074,153,102.679,102,11.3347,72
"2024","Mississippi",68.555,181,66.9048,232,110.205,81,115.603,41,106.871,230,104.812,139,10.7913,76
"2024","Mississippi St.",69.1237,138,67.4707,196,108.189,120,113.73,66,99.8004,54,96.442,18,17.2876,33
"2024","Mississippi Valley St.",66.3196,295,65.0036,319,82.5659,362,84.9595,362,117.56,360,117.466,355,-32.5066,362
"2024","Missouri",68.4594,189,66.9727,229,105.254,179,109.265,129,110.936,315,107.641,192,1.62433,150
"2024","Missouri St.",68.4667,187,67.9843,162,102.483,241,105.113,210,102.828,119,103.445,114,1.66846,149
"2024","Monmouth",68.3556,192,68.3504,142,105.497,170,105.707,192,106.056,212,108.512,210,-2.80477,196
"2024","Montana",66.2586,298,66.2314,265,113.126,35,112.466,82,108.074,259,111.153,266,1.31299,155
"2024","Montana St.",69.1942,135,68.7255,118,103.476,218,102.21,256,105.638,201,107.762,198,-5.55159,243
"2024","Morehead St.",65.8987,310,64.7239,329,110.481,76,109.379,125,99.875,57,104.503,132,4.87603,121
"2024","Morgan St.",71.071,55,70.9305,35,97.4076,315,98.5833,311,111.966,327,115.125,342,-16.5415,330
"2024","Mount St. Mary's",69.2044,134,68.9285,102,103.341,222,102.888,246,101.13,83,107.873,201,-4.98489,231
"2024","Murray St.",65.2346,335,64.6189,333,105.345,175,108.091,153,107.097,238,107.292,186,0.799936,159
"2024","N.C. State",69.0255,145,68.1721,147,108.655,115,113.01,76,104.278,164,102.573,97,10.4372,78
"2024","Navy",65.4328,330,65.7401,287,99.4915,289,97.3275,326,103.049,125,111.585,278,-14.2575,324
"2024","Nebraska",68.7954,160,68.4177,137,110.079,84,115.345,43,99.7449,53,98.1165,30,17.2286,34
"2024","Nebraska Omaha",67.5017,247,67.5968,188,106.632,147,105.333,203,109.903,293,112.194,292,-6.86164,259
"2024","Nevada",67.1787,262,66.8631,239,112.621,41,115.336,44,99.0867,42,98.467,34,16.8695,40
"2024","New Hampshire",73.3314,12,71.6537,24,99.5253,287,100.284,292,103.329,135,107.133,178,-6.84952,258
"2024","New Mexico",73.0431,16,73.4241,5,112.756,39,115.879,37,98.5762,33,98.7758,37,17.1033,35
"2024","New Mexico St.",67.916,219,66.4498,257,94.7747,343,99.7982,300,109.131,273,109.203,227,-9.40499,286
"2024","New Orleans",72.6395,21,72.1611,17,97.3069,318,98.4588,313,113.51,345,116.876,352,-18.4176,342
"2024","Niagara",68.196,199,67.7987,173,104.479,197,103.868,234,105.947,209,111.417,273,-7.54953,265
"2024","Nicholls St.",67.6284,234,66.354,262,103.789,211,104.222,226,107.315,241,110.14,243,-5.91771,248
"2024","NJIT",68.3088,195,66.3748,261,96.2518,329,97.7831,322,111.259,320,114.86,341,-17.0773,333
"2024","Norfolk St.",67.438,252,66.7073,246,103.436,219,103.299,241,102.149,104,108.722,216,-5.42292,242
"2024","North Alabama",68.5866,175,68.0731,154,107.548,132,106.364,185,110.702,310,112.478,304,-6.11447,251
"2024","North Carolina",71.562,41,70.7275,43,113.315,34,118.066,25,96.9845,21,93.4602,6,24.6059,8
"2024","North Carolina A&T",68.0051,213,67.8555,171,96.2906,327,96.5655,333,114.238,350,115.884,350,-19.3181,346
"2024","North Carolina Central",66.9883,269,66.5846,250,106.166,158,105.423,199,104.171,156,111.062,263,-5.63957,245
"2024","North Dakota",67.914,220,66.811,241,108.108,121,105.692,193,108.518,267,110.886,260,-5.19373,236
"2024","North Dakota St.",66.2613,297,65.929,278,105.927,161,104.263,224,112.371,333,112.341,296,-8.07768,272
"2024","North Florida",68.7676,163,67.3786,200,109.067,102,107.792,160,111.358,324,113.003,315,-5.21099,237
"2024","North Texas",62.4321,361,61.459,361,107.646,130,109.834,116,100.41,63,99.6662,46,10.1682,79
"2024","Northeastern",65.7681,318,65.8934,279,105.862,164,106.016,187,110.144,298,111.993,288,-5.97749,249
"2024","Northern Arizona",69.2308,130,68.5885,126,98.9311,297,99.9039,298,110.661,309,111.884,286,-11.9805,308
"2024","Northern Colorado",69.9815,98,70.0466,62,111.415,59,110.121,110,109.331,280,112.421,301,-2.29981,189
"2024","Northern Illinois",69.1337,137,68.2471,143,101.824,251,102.547,250,113.343,344,114.054,330,-11.5069,305
"2024","Northern Iowa",67.5924,239,67.0092,224,106.681,145,109.712,119,104.216,159,103.379,111,6.33297,105
"2024","Northern Kentucky",69.0766,142,68.2399,144,104.959,185,103.91,233,104.721,178,105.889,154,-1.97918,183
"2024","Northwestern",64.7516,344,64.0253,343,111.549,56,116.525,30,104.515,171,101.115,70,15.4104,46
"2024","Northwestern St.",68.9763,150,67.674,181,98.193,307,98.6022,310,110.272,301,112.469,303,-13.8669,322
"2024","Notre Dame",64.79,343,64.3286,336,96.2681,328,101.952,264,100.719,75,97.7477,26,4.2043,128
"2024","Oakland",68.0235,211,66.7479,244,110.634,75,109.267,128,105.663,202,106.576,170,2.69126,138
"2024","Ohio",68.0129,212,67.3421,202,111.554,55,110.143,109,104.718,177,108.571,212,1.57186,152
"2024","Ohio St.",66.3646,292,65.5544,297,110.851,69,115.563,42,103.939,151,101.8,84,13.7631,55
"2024","Oklahoma",68.3131,194,67.0304,223,109.383,99,114.494,53,98.5751,32,97.5997,25,16.8944,37
"2024","Oklahoma St.",67.9838,215,67.2573,210,103.62,214,109.886,115,105.411,194,103.819,120,6.06657,106
"2024","Old Dominion",71.1637,51,70.212,56,98.8616,299,99.6113,301,108.261,262,109.231,229,-9.61986,289
"2024","Oral Roberts",68.619,171,68.1154,152,104.785,191,103.976,231,111.317,322,112.261,293,-8.28561,274
"2024","Oregon",69.0167,146,67.6164,186,109.976,89,114.527,52,104.954,183,102.472,95,12.0545,67
"2024","Oregon St.",66.6901,276,65.7611,286,101.046,266,107.295,168,108.361,264,105.581,150,1.71422,148
"2024","Pacific",69.1225,139,68.4736,132,91.8738,355,95.8373,339,117.488,359,118.684,359,-22.847,357
"2024","Penn",66.0839,305,65.4968,300,106.52,150,109.078,131,110.835,313,112.386,300,-3.30846,202
"2024","Penn St.",70.5447,69,70.2705,53,106.449,152,112.262,83,105.033,188,102.852,104,9.41025,84
"2024","Pepperdine",68.5327,184,67.5623,191,105.479,171,106.769,176,109.902,292,111.542,276,-4.77339,227
"2024","Pittsburgh",67.0621,266,65.8415,281,112.589,44,115.89,36,100.765,76,100.066,51,15.8235,43
"2024","Portland",68.5725,178,68.0278,157,102.508,240,104.239,225,116.089,355,114.789,340,-10.5493,299
"2024","Portland St.",68.7798,162,69.2404,88,101.417,258,100.186,294,103.665,143,105.946,157,-5.75985,246
"2024","Prairie View A&M",72.0219,34,70.5996,47,95.1424,335,94.7881,344,106.386,219,111.493,275,-16.7051,332
"2024","Presbyterian",68.4818,186,67.4481,197,104.54,196,103.925,232,108.278,263,111.854,284,-7.92943,270
"2024","Princeton",64.7443,345,64.3094,337,115.87,18,116.515,31,101.878,98,104.17,126,12.3445,64
"2024","Providence",68.7932,161,67.9314,168,104.987,184,109.52,124,99.0426,41,96.6185,19,12.9013,59
"2024","Purdue",69.3714,124,67.6432,184,120.575,3,126.718,2,100.585,72,96.7281,20,29.9896,3
"2024","Purdue Fort Wayne",71.8354,37,70.8296,37,108.9,109,105.555,196,100.538,69,104.881,141,0.674146,161
"2024","Queens",73.454,11,72.9261,10,105.301,176,104.708,217,112.536,334,112.262,294,-7.55427,266
"2024","Quinnipiac",72.2801,27,71.9423,19,105.92,163,104.953,213,100.551,71,107.097,177,-2.14437,186
"2024","Radford",65.0953,340,63.6833,347,107.523,133,107.967,157,110.813,312,112.659,309,-4.69219,226
"2024","Rhode Island",68.9211,155,68.8275,107,104.875,187,108.242,150,113.259,343,112.88,313,-4.6376,224
"2024","Rice",67.9909,214,66.227,266,103.418,221,106.455,182,110.408,304,110.621,253,-4.1664,215
"2024","Richmond",67.9784,216,67.3,208,107.72,129,108.922,136,96.9552,20,98.0441,29,10.8782,75
